instant,tanggal,musim,tahun,bulan,jam,hari_libur,seminggu,kondisi_cuaca,suhu,atemp,kelembaban,kecepatan_angin,casual,registered,total_penyewa,kategori_hari,kategori_kelembaban
9304,2012-01-28,Semi,2012,Jan,13,0,Sabtu,Cerah,0.34,0.3182,56.99999999999999,0.2537,80,293,373,Weekend,Ideal
9305,2012-01-28,Semi,2012,Jan,14,0,Sabtu,Cerah,0.38,0.3939,50.0,0.3881,123,239,362,Weekend,Ideal
9306,2012-01-28,Semi,2012,Jan,15,0,Sabtu,Cerah,0.4,0.4091,47.0,0.3284,90,320,410,Weekend,Ideal
9307,2012-01-28,Semi,2012,Jan,16,0,Sabtu,Cerah,0.42,0.4242,44.0,0.3582,131,276,407,Weekend,Terlalu kering
9308,2012-01-28,Semi,2012,Jan,17,0,Sabtu,Cerah,0.42,0.4242,44.0,0.3881,57,233,290,Weekend,Terlalu kering
9309,2012-01-28,Semi,2012,Jan,18,0,Sabtu,Cerah,0.42,0.4242,41.0,0.2239,40,201,241,Weekend,Terlalu kering
9310,2012-01-28,Semi,2012,Jan,19,0,Sabtu,Berawan,0.42,0.4242,41.0,0.5522,33,173,206,Weekend,Terlalu kering
9311,2012-01-28,Semi,2012,Jan,20,0,Sabtu,Cerah,0.4,0.4091,35.0,0.3881,5,115,120,Weekend,Terlalu kering
9312,2012-01-28,Semi,2012,Jan,21,0,Sabtu,Cerah,0.36,0.3333,28.999999999999996,0.3582,18,109,127,Weekend,Terlalu kering
9313,2012-01-28,Semi,2012,Jan,22,0,Sabtu,Cerah,0.34,0.3333,34.0,0.194,6,97,103,Weekend,Terlalu kering
9314,2012-01-28,Semi,2012,Jan,23,0,Sabtu,Cerah,0.32,0.3182,31.0,0.194,6,79,85,Weekend,Terlalu kering
9315,2012-01-29,Semi,2012,Jan,0,0,Minggu,Cerah,0.3,0.2879,33.0,0.2239,15,81,96,Weekend,Terlalu kering
9316,2012-01-29,Semi,2012,Jan,1,0,Minggu,Cerah,0.3,0.2727,28.000000000000004,0.3582,5,68,73,Weekend,Terlalu kering
9317,2012-01-29,Semi,2012,Jan,2,0,Minggu,Cerah,0.28,0.2576,26.0,0.3284,3,48,51,Weekend,Terlalu kering
9318,2012-01-29,Semi,2012,Jan,3,0,Minggu,Cerah,0.26,0.2576,28.000000000000004,0.194,4,17,21,Weekend,Terlalu kering
9319,2012-01-29,Semi,2012,Jan,4,0,Minggu,Cerah,0.24,0.2576,30.0,0.0,0,5,5,Weekend,Terlalu kering
9320,2012-01-29,Semi,2012,Jan,5,0,Minggu,Cerah,0.2,0.2121,51.0,0.1343,1,6,7,Weekend,Ideal
9321,2012-01-29,Semi,2012,Jan,6,0,Minggu,Cerah,0.2,0.2273,40.0,0.1045,1,4,5,Weekend,Terlalu kering
9322,2012-01-29,Semi,2012,Jan,7,0,Minggu,Cerah,0.2,0.2121,37.0,0.1343,0,12,12,Weekend,Terlalu kering
9323,2012-01-29,Semi,2012,Jan,8,0,Minggu,Cerah,0.18,0.197,40.0,0.1343,9,61,70,Weekend,Terlalu kering
9324,2012-01-29,Semi,2012,Jan,9,0,Minggu,Cerah,0.18,0.197,43.0,0.1343,13,98,111,Weekend,Terlalu kering
9325,2012-01-29,Semi,2012,Jan,10,0,Minggu,Cerah,0.24,0.2424,35.0,0.1343,38,153,191,Weekend,Terlalu kering
9326,2012-01-29,Semi,2012,Jan,11,0,Minggu,Cerah,0.28,0.2727,28.000000000000004,0.2239,57,198,255,Weekend,Terlalu kering
9327,2012-01-29,Semi,2012,Jan,12,0,Minggu,Cerah,0.32,0.303,26.0,0.2239,73,215,288,Weekend,Terlalu kering
9328,2012-01-29,Semi,2012,Jan,13,0,Minggu,Cerah,0.32,0.303,26.0,0.2239,78,238,316,Weekend,Terlalu kering
9329,2012-01-29,Semi,2012,Jan,14,0,Minggu,Cerah,0.32,0.303,26.0,0.2537,51,229,280,Weekend,Terlalu kering
9330,2012-01-29,Semi,2012,Jan,15,0,Minggu,Cerah,0.36,0.3333,25.0,0.2836,68,242,310,Weekend,Terlalu kering
9331,2012-01-29,Semi,2012,Jan,16,0,Minggu,Cerah,0.36,0.3333,21.0,0.4179,54,268,322,Weekend,Terlalu kering
9332,2012-01-29,Semi,2012,Jan,17,0,Minggu,Cerah,0.36,0.3333,21.0,0.4179,33,201,234,Weekend,Terlalu kering
9333,2012-01-29,Semi,2012,Jan,18,0,Minggu,Cerah,0.34,0.303,23.0,0.3582,17,151,168,Weekend,Terlalu kering
9334,2012-01-29,Semi,2012,Jan,19,0,Minggu,Cerah,0.32,0.303,28.999999999999996,0.2537,14,145,159,Weekend,Terlalu kering
9335,2012-01-29,Semi,2012,Jan,20,0,Minggu,Cerah,0.3,0.2879,39.0,0.2239,13,98,111,Weekend,Terlalu kering
9336,2012-01-29,Semi,2012,Jan,21,0,Minggu,Cerah,0.3,0.2879,33.0,0.2836,0,69,69,Weekend,Terlalu kering
9337,2012-01-29,Semi,2012,Jan,22,0,Minggu,Cerah,0.32,0.2879,26.0,0.3881,7,57,64,Weekend,Terlalu kering
9338,2012-01-29,Semi,2012,Jan,23,0,Minggu,Cerah,0.3,0.2727,33.0,0.3284,4,21,25,Weekend,Terlalu kering
9339,2012-01-30,Semi,2012,Jan,0,0,Senin,Berawan,0.32,0.2879,26.0,0.4179,0,10,10,Weekdays,Terlalu kering
9340,2012-01-30,Semi,2012,Jan,1,0,Senin,Cerah,0.26,0.2273,60.0,0.3582,0,9,9,Weekdays,Ideal
9341,2012-01-30,Semi,2012,Jan,2,0,Senin,Cerah,0.24,0.2121,48.0,0.3582,1,6,7,Weekdays,Ideal
9342,2012-01-30,Semi,2012,Jan,3,0,Senin,Cerah,0.24,0.2273,48.0,0.194,0,4,4,Weekdays,Ideal
9343,2012-01-30,Semi,2012,Jan,4,0,Senin,Cerah,0.2,0.2121,51.0,0.1343,0,5,5,Weekdays,Ideal
9344,2012-01-30,Semi,2012,Jan,5,0,Senin,Cerah,0.2,0.2121,51.0,0.1343,0,26,26,Weekdays,Ideal
9345,2012-01-30,Semi,2012,Jan,6,0,Senin,Cerah,0.22,0.2121,44.0,0.2537,0,80,80,Weekdays,Terlalu kering
9346,2012-01-30,Semi,2012,Jan,7,0,Senin,Cerah,0.22,0.2121,44.0,0.2836,4,221,225,Weekdays,Terlalu kering
9347,2012-01-30,Semi,2012,Jan,8,0,Senin,Cerah,0.2,0.197,47.0,0.2239,12,481,493,Weekdays,Ideal
9348,2012-01-30,Semi,2012,Jan,9,0,Senin,Cerah,0.2,0.197,47.0,0.2239,5,193,198,Weekdays,Ideal
9349,2012-01-30,Semi,2012,Jan,10,0,Senin,Cerah,0.22,0.2121,41.0,0.2836,3,82,85,Weekdays,Terlalu kering
9350,2012-01-30,Semi,2012,Jan,11,0,Senin,Cerah,0.26,0.2576,38.0,0.0,6,93,99,Weekdays,Terlalu kering
9351,2012-01-30,Semi,2012,Jan,12,0,Senin,Cerah,0.26,0.2273,35.0,0.3881,5,129,134,Weekdays,Terlalu kering
9352,2012-01-30,Semi,2012,Jan,13,0,Senin,Cerah,0.3,0.2879,31.0,0.194,15,117,132,Weekdays,Terlalu kering
9353,2012-01-30,Semi,2012,Jan,14,0,Senin,Cerah,0.32,0.3333,24.0,0.1343,15,100,115,Weekdays,Terlalu kering
9354,2012-01-30,Semi,2012,Jan,15,0,Senin,Cerah,0.32,0.3182,24.0,0.194,7,131,138,Weekdays,Terlalu kering
9355,2012-01-30,Semi,2012,Jan,16,0,Senin,Cerah,0.34,0.3333,25.0,0.194,11,210,221,Weekdays,Terlalu kering
9356,2012-01-30,Semi,2012,Jan,17,0,Senin,Cerah,0.36,0.3485,21.0,0.194,16,422,438,Weekdays,Terlalu kering
9357,2012-01-30,Semi,2012,Jan,18,0,Senin,Cerah,0.34,0.3333,23.0,0.1642,11,399,410,Weekdays,Terlalu kering
9358,2012-01-30,Semi,2012,Jan,19,0,Senin,Cerah,0.3,0.3182,45.0,0.1045,8,298,306,Weekdays,Ideal
9359,2012-01-30,Semi,2012,Jan,20,0,Senin,Cerah,0.3,0.303,39.0,0.1642,2,179,181,Weekdays,Terlalu kering
9360,2012-01-30,Semi,2012,Jan,21,0,Senin,Cerah,0.3,0.303,42.0,0.1642,3,159,162,Weekdays,Terlalu kering
9361,2012-01-30,Semi,2012,Jan,22,0,Senin,Cerah,0.28,0.2727,48.0,0.2239,2,92,94,Weekdays,Ideal
9362,2012-01-30,Semi,2012,Jan,23,0,Senin,Cerah,0.26,0.2576,60.0,0.194,0,52,52,Weekdays,Ideal
9363,2012-01-31,Semi,2012,Jan,0,0,Selasa,Cerah,0.28,0.2727,52.0,0.2537,0,15,15,Weekdays,Ideal
9364,2012-01-31,Semi,2012,Jan,1,0,Selasa,Cerah,0.3,0.2727,42.0,0.2985,1,7,8,Weekdays,Terlalu kering
9365,2012-01-31,Semi,2012,Jan,2,0,Selasa,Cerah,0.3,0.2879,42.0,0.2239,0,2,2,Weekdays,Terlalu kering
9366,2012-01-31,Semi,2012,Jan,3,0,Selasa,Cerah,0.3,0.2879,45.0,0.2239,0,2,2,Weekdays,Ideal
9367,2012-01-31,Semi,2012,Jan,4,0,Selasa,Cerah,0.3,0.2879,49.0,0.194,0,1,1,Weekdays,Ideal
9368,2012-01-31,Semi,2012,Jan,5,0,Selasa,Cerah,0.3,0.2879,49.0,0.194,0,22,22,Weekdays,Ideal
9369,2012-01-31,Semi,2012,Jan,6,0,Selasa,Cerah,0.28,0.2727,52.0,0.1642,0,104,104,Weekdays,Ideal
9370,2012-01-31,Semi,2012,Jan,7,0,Selasa,Cerah,0.26,0.2576,60.0,0.194,6,273,279,Weekdays,Ideal
9371,2012-01-31,Semi,2012,Jan,8,0,Selasa,Cerah,0.26,0.2727,60.0,0.1045,14,498,512,Weekdays,Ideal
9372,2012-01-31,Semi,2012,Jan,9,0,Selasa,Cerah,0.3,0.2879,52.0,0.194,30,231,261,Weekdays,Ideal
9373,2012-01-31,Semi,2012,Jan,10,0,Selasa,Berawan,0.32,0.3182,56.99999999999999,0.194,34,110,144,Weekdays,Ideal
9374,2012-01-31,Semi,2012,Jan,11,0,Selasa,Cerah,0.4,0.4091,37.0,0.2836,14,125,139,Weekdays,Terlalu kering
9375,2012-01-31,Semi,2012,Jan,12,0,Selasa,Cerah,0.4,0.4091,43.0,0.2985,13,181,194,Weekdays,Terlalu kering
9376,2012-01-31,Semi,2012,Jan,13,0,Selasa,Cerah,0.46,0.4545,36.0,0.2239,27,171,198,Weekdays,Terlalu kering
9377,2012-01-31,Semi,2012,Jan,14,0,Selasa,Cerah,0.5,0.4848,28.999999999999996,0.3284,18,142,160,Weekdays,Terlalu kering
9378,2012-01-31,Semi,2012,Jan,15,0,Selasa,Cerah,0.54,0.5152,26.0,0.4478,27,150,177,Weekdays,Terlalu kering
9379,2012-01-31,Semi,2012,Jan,16,0,Selasa,Cerah,0.54,0.5152,26.0,0.4478,30,277,307,Weekdays,Terlalu kering
9380,2012-01-31,Semi,2012,Jan,17,0,Selasa,Cerah,0.54,0.5152,26.0,0.4179,41,518,559,Weekdays,Terlalu kering
9381,2012-01-31,Semi,2012,Jan,18,0,Selasa,Cerah,0.54,0.5152,24.0,0.3582,16,486,502,Weekdays,Terlalu kering
9382,2012-01-31,Semi,2012,Jan,19,0,Selasa,Cerah,0.5,0.4848,28.999999999999996,0.2836,22,306,328,Weekdays,Terlalu kering
9383,2012-01-31,Semi,2012,Jan,20,0,Selasa,Cerah,0.4,0.4091,57.99999999999999,0.1045,15,223,238,Weekdays,Ideal
9384,2012-01-31,Semi,2012,Jan,21,0,Selasa,Cerah,0.46,0.4545,33.0,0.2985,3,162,165,Weekdays,Terlalu kering
9385,2012-01-31,Semi,2012,Jan,22,0,Selasa,Cerah,0.44,0.4394,35.0,0.2985,11,118,129,Weekdays,Terlalu kering
9386,2012-01-31,Semi,2012,Jan,23,0,Selasa,Cerah,0.44,0.4394,38.0,0.2537,2,61,63,Weekdays,Terlalu kering
9387,2012-02-01,Semi,2012,Feb,0,0,Rabu,Cerah,0.44,0.4394,38.0,0.2836,0,31,31,Weekdays,Terlalu kering
9388,2012-02-01,Semi,2012,Feb,1,0,Rabu,Cerah,0.44,0.4394,41.0,0.2836,0,4,4,Weekdays,Terlalu kering
9389,2012-02-01,Semi,2012,Feb,2,0,Rabu,Cerah,0.44,0.4394,44.0,0.2836,1,6,7,Weekdays,Terlalu kering
9390,2012-02-01,Semi,2012,Feb,3,0,Rabu,Cerah,0.44,0.4394,44.0,0.194,0,3,3,Weekdays,Terlalu kering
9391,2012-02-01,Semi,2012,Feb,4,0,Rabu,Cerah,0.4,0.4091,50.0,0.1642,0,1,1,Weekdays,Ideal
9392,2012-02-01,Semi,2012,Feb,5,0,Rabu,Cerah,0.4,0.4091,50.0,0.1642,0,18,18,Weekdays,Ideal
9393,2012-02-01,Semi,2012,Feb,6,0,Rabu,Hujan/Salju_ringan,0.4,0.4091,54.0,0.1642,0,67,67,Weekdays,Ideal
9394,2012-02-01,Semi,2012,Feb,7,0,Rabu,Hujan/Salju_ringan,0.38,0.3939,62.0,0.0896,7,201,208,Weekdays,Ideal
9395,2012-02-01,Semi,2012,Feb,8,0,Rabu,Hujan/Salju_ringan,0.36,0.3636,73.0,0.1045,15,505,520,Weekdays,Terlalu lembab
9396,2012-02-01,Semi,2012,Feb,9,0,Rabu,Berawan,0.36,0.3485,71.0,0.194,9,267,276,Weekdays,Terlalu lembab
9397,2012-02-01,Semi,2012,Feb,10,0,Rabu,Cerah,0.4,0.4091,62.0,0.1343,9,124,133,Weekdays,Ideal
9398,2012-02-01,Semi,2012,Feb,11,0,Rabu,Cerah,0.4,0.4091,57.99999999999999,0.1642,27,116,143,Weekdays,Ideal
9399,2012-02-01,Semi,2012,Feb,12,0,Rabu,Cerah,0.44,0.4394,54.0,0.1045,26,153,179,Weekdays,Ideal
9400,2012-02-01,Semi,2012,Feb,13,0,Rabu,Cerah,0.46,0.4545,47.0,0.2239,12,174,186,Weekdays,Ideal
9401,2012-02-01,Semi,2012,Feb,14,0,Rabu,Cerah,0.62,0.6212,33.0,0.2239,33,159,192,Weekdays,Terlalu kering
9402,2012-02-01,Semi,2012,Feb,15,0,Rabu,Cerah,0.6,0.6212,35.0,0.2836,25,169,194,Weekdays,Terlalu kering
9403,2012-02-01,Semi,2012,Feb,16,0,Rabu,Cerah,0.6,0.6212,40.0,0.2239,22,261,283,Weekdays,Terlalu kering
9404,2012-02-01,Semi,2012,Feb,17,0,Rabu,Cerah,0.58,0.5455,43.0,0.194,31,508,539,Weekdays,Terlalu kering
9405,2012-02-01,Semi,2012,Feb,18,0,Rabu,Cerah,0.56,0.5303,46.0,0.1642,12,514,526,Weekdays,Ideal
9406,2012-02-01,Semi,2012,Feb,19,0,Rabu,Cerah,0.54,0.5152,52.0,0.2836,20,315,335,Weekdays,Ideal
9407,2012-02-01,Semi,2012,Feb,20,0,Rabu,Cerah,0.52,0.5,52.0,0.1642,10,254,264,Weekdays,Ideal
9408,2012-02-01,Semi,2012,Feb,21,0,Rabu,Cerah,0.52,0.5,52.0,0.1642,16,217,233,Weekdays,Ideal
9409,2012-02-01,Semi,2012,Feb,22,0,Rabu,Cerah,0.5,0.4848,55.00000000000001,0.194,7,133,140,Weekdays,Ideal
9410,2012-02-01,Semi,2012,Feb,23,0,Rabu,Cerah,0.46,0.4545,63.0,0.0896,22,75,97,Weekdays,Ideal
9411,2012-02-02,Semi,2012,Feb,0,0,Kamis,Cerah,0.46,0.4545,59.0,0.1343,7,24,31,Weekdays,Ideal
9412,2012-02-02,Semi,2012,Feb,1,0,Kamis,Berawan,0.46,0.4545,55.00000000000001,0.0,3,14,17,Weekdays,Ideal
9413,2012-02-02,Semi,2012,Feb,2,0,Kamis,Berawan,0.42,0.4242,67.0,0.1343,2,7,9,Weekdays,Terlalu lembab
9414,2012-02-02,Semi,2012,Feb,3,0,Kamis,Berawan,0.42,0.4242,67.0,0.1343,0,2,2,Weekdays,Terlalu lembab
9415,2012-02-02,Semi,2012,Feb,4,0,Kamis,Hujan/Salju_ringan,0.4,0.4091,82.0,0.0896,0,1,1,Weekdays,Terlalu lembab
9416,2012-02-02,Semi,2012,Feb,5,0,Kamis,Hujan/Salju_ringan,0.4,0.4091,82.0,0.0,0,19,19,Weekdays,Terlalu lembab
9417,2012-02-02,Semi,2012,Feb,6,0,Kamis,Hujan/Salju_ringan,0.36,0.3788,90.0,0.0,1,73,74,Weekdays,Terlalu lembab
9418,2012-02-02,Semi,2012,Feb,7,0,Kamis,Hujan/Salju_ringan,0.36,0.3788,93.0,0.0,4,201,205,Weekdays,Terlalu lembab
9419,2012-02-02,Semi,2012,Feb,8,0,Kamis,Hujan/Salju_ringan,0.4,0.4091,87.0,0.0,9,436,445,Weekdays,Terlalu lembab
9420,2012-02-02,Semi,2012,Feb,9,0,Kamis,Hujan/Salju_ringan,0.38,0.3939,87.0,0.0,15,213,228,Weekdays,Terlalu lembab
9421,2012-02-02,Semi,2012,Feb,10,0,Kamis,Hujan/Salju_ringan,0.42,0.4242,77.0,0.1045,6,72,78,Weekdays,Terlalu lembab
9422,2012-02-02,Semi,2012,Feb,11,0,Kamis,Hujan/Salju_ringan,0.4,0.4091,82.0,0.2537,6,99,105,Weekdays,Terlalu lembab
9423,2012-02-02,Semi,2012,Feb,12,0,Kamis,Cerah,0.42,0.4242,82.0,0.0,8,140,148,Weekdays,Terlalu lembab
9424,2012-02-02,Semi,2012,Feb,13,0,Kamis,Berawan,0.42,0.4242,77.0,0.0,13,124,137,Weekdays,Terlalu lembab
9425,2012-02-02,Semi,2012,Feb,14,0,Kamis,Cerah,0.4,0.4091,76.0,0.1045,12,129,141,Weekdays,Terlalu lembab
9426,2012-02-02,Semi,2012,Feb,15,0,Kamis,Cerah,0.46,0.4545,67.0,0.1642,24,150,174,Weekdays,Terlalu lembab
9427,2012-02-02,Semi,2012,Feb,16,0,Kamis,Cerah,0.46,0.4545,55.00000000000001,0.2836,18,211,229,Weekdays,Ideal
9428,2012-02-02,Semi,2012,Feb,17,0,Kamis,Cerah,0.42,0.4242,54.0,0.4925,13,437,450,Weekdays,Ideal
9429,2012-02-02,Semi,2012,Feb,18,0,Kamis,Cerah,0.4,0.4091,43.0,0.4627,17,393,410,Weekdays,Terlalu kering
9430,2012-02-02,Semi,2012,Feb,19,0,Kamis,Cerah,0.38,0.3939,43.0,0.5224,16,311,327,Weekdays,Terlalu kering
9431,2012-02-02,Semi,2012,Feb,20,0,Kamis,Cerah,0.36,0.3182,46.0,0.5224,9,204,213,Weekdays,Ideal
9432,2012-02-02,Semi,2012,Feb,21,0,Kamis,Cerah,0.34,0.303,46.0,0.4179,4,144,148,Weekdays,Ideal
9433,2012-02-02,Semi,2012,Feb,22,0,Kamis,Cerah,0.32,0.2879,49.0,0.4179,3,106,109,Weekdays,Ideal
9434,2012-02-02,Semi,2012,Feb,23,0,Kamis,Cerah,0.32,0.303,49.0,0.2537,0,61,61,Weekdays,Ideal
9435,2012-02-03,Semi,2012,Feb,0,0,Jumat,Cerah,0.32,0.2879,53.0,0.3881,1,37,38,Weekdays,Ideal
9436,2012-02-03,Semi,2012,Feb,1,0,Jumat,Cerah,0.3,0.2727,56.00000000000001,0.3284,3,19,22,Weekdays,Ideal
9437,2012-02-03,Semi,2012,Feb,2,0,Jumat,Cerah,0.3,0.2879,52.0,0.2239,0,6,6,Weekdays,Ideal
9438,2012-02-03,Semi,2012,Feb,3,0,Jumat,Cerah,0.28,0.2576,56.00000000000001,0.2985,0,4,4,Weekdays,Ideal
9439,2012-02-03,Semi,2012,Feb,4,0,Jumat,Cerah,0.26,0.2576,60.0,0.2239,0,2,2,Weekdays,Ideal
9440,2012-02-03,Semi,2012,Feb,5,0,Jumat,Cerah,0.26,0.2576,60.0,0.2239,0,17,17,Weekdays,Ideal
9441,2012-02-03,Semi,2012,Feb,6,0,Jumat,Cerah,0.24,0.2424,65.0,0.1642,0,88,88,Weekdays,Terlalu lembab
9442,2012-02-03,Semi,2012,Feb,7,0,Jumat,Cerah,0.24,0.2273,65.0,0.2239,10,216,226,Weekdays,Terlalu lembab
9443,2012-02-03,Semi,2012,Feb,8,0,Jumat,Cerah,0.24,0.2273,65.0,0.2239,12,429,441,Weekdays,Terlalu lembab
9444,2012-02-03,Semi,2012,Feb,9,0,Jumat,Cerah,0.24,0.2273,65.0,0.194,18,252,270,Weekdays,Terlalu lembab
9445,2012-02-03,Semi,2012,Feb,10,0,Jumat,Cerah,0.28,0.2576,56.00000000000001,0.2836,15,114,129,Weekdays,Ideal
9446,2012-02-03,Semi,2012,Feb,11,0,Jumat,Cerah,0.32,0.303,53.0,0.2985,15,149,164,Weekdays,Ideal
9447,2012-02-03,Semi,2012,Feb,12,0,Jumat,Cerah,0.34,0.3333,46.0,0.1343,25,191,216,Weekdays,Ideal
9448,2012-02-03,Semi,2012,Feb,13,0,Jumat,Cerah,0.36,0.3636,46.0,0.0,25,173,198,Weekdays,Ideal
9449,2012-02-03,Semi,2012,Feb,14,0,Jumat,Cerah,0.36,0.3485,46.0,0.2239,22,148,170,Weekdays,Ideal
9450,2012-02-03,Semi,2012,Feb,15,0,Jumat,Cerah,0.38,0.3939,40.0,0.0,48,168,216,Weekdays,Terlalu kering
9451,2012-02-03,Semi,2012,Feb,16,0,Jumat,Cerah,0.4,0.4091,37.0,0.1045,36,275,311,Weekdays,Terlalu kering
9452,2012-02-03,Semi,2012,Feb,17,0,Jumat,Cerah,0.4,0.4091,37.0,0.0896,30,458,488,Weekdays,Terlalu kering
9453,2012-02-03,Semi,2012,Feb,18,0,Jumat,Cerah,0.38,0.3939,40.0,0.1343,17,368,385,Weekdays,Terlalu kering
9454,2012-02-03,Semi,2012,Feb,19,0,Jumat,Cerah,0.34,0.3485,49.0,0.1045,11,256,267,Weekdays,Ideal
9455,2012-02-03,Semi,2012,Feb,20,0,Jumat,Cerah,0.34,0.3485,49.0,0.1045,8,155,163,Weekdays,Ideal
9456,2012-02-03,Semi,2012,Feb,21,0,Jumat,Cerah,0.34,0.3485,49.0,0.1045,8,126,134,Weekdays,Ideal
9457,2012-02-03,Semi,2012,Feb,22,0,Jumat,Cerah,0.34,0.3485,49.0,0.1045,3,116,119,Weekdays,Ideal
9458,2012-02-03,Semi,2012,Feb,23,0,Jumat,Cerah,0.26,0.2727,70.0,0.1045,3,74,77,Weekdays,Terlalu lembab
9459,2012-02-04,Semi,2012,Feb,0,0,Sabtu,Cerah,0.26,0.2727,70.0,0.1045,10,76,86,Weekend,Terlalu lembab
9460,2012-02-04,Semi,2012,Feb,1,0,Sabtu,Cerah,0.26,0.2727,70.0,0.1045,0,43,43,Weekend,Terlalu lembab
9461,2012-02-04,Semi,2012,Feb,2,0,Sabtu,Cerah,0.24,0.2576,70.0,0.0896,6,38,44,Weekend,Terlalu lembab
9462,2012-02-04,Semi,2012,Feb,3,0,Sabtu,Cerah,0.24,0.2879,75.0,0.0,1,17,18,Weekend,Terlalu lembab
9463,2012-02-04,Semi,2012,Feb,4,0,Sabtu,Cerah,0.24,0.2576,81.0,0.0896,1,5,6,Weekend,Terlalu lembab
9464,2012-02-04,Semi,2012,Feb,5,0,Sabtu,Cerah,0.24,0.2576,81.0,0.0896,1,3,4,Weekend,Terlalu lembab
9465,2012-02-04,Semi,2012,Feb,6,0,Sabtu,Cerah,0.22,0.2273,87.0,0.1343,1,4,5,Weekend,Terlalu lembab
9466,2012-02-04,Semi,2012,Feb,7,0,Sabtu,Berawan,0.24,0.2424,87.0,0.1343,1,27,28,Weekend,Terlalu lembab
9467,2012-02-04,Semi,2012,Feb,8,0,Sabtu,Cerah,0.24,0.2879,87.0,0.0,4,86,90,Weekend,Terlalu lembab
9468,2012-02-04,Semi,2012,Feb,9,0,Sabtu,Cerah,0.24,0.2424,81.0,0.1343,16,141,157,Weekend,Terlalu lembab
9469,2012-02-04,Semi,2012,Feb,10,0,Sabtu,Cerah,0.24,0.2576,87.0,0.1045,31,193,224,Weekend,Terlalu lembab
9470,2012-02-04,Semi,2012,Feb,11,0,Sabtu,Cerah,0.3,0.3333,70.0,0.0,46,224,270,Weekend,Terlalu lembab
9471,2012-02-04,Semi,2012,Feb,12,0,Sabtu,Berawan,0.3,0.3182,70.0,0.0896,40,260,300,Weekend,Terlalu lembab
9472,2012-02-04,Semi,2012,Feb,13,0,Sabtu,Berawan,0.3,0.2879,70.0,0.194,58,244,302,Weekend,Terlalu lembab
9473,2012-02-04,Semi,2012,Feb,14,0,Sabtu,Berawan,0.32,0.303,66.0,0.2239,47,229,276,Weekend,Terlalu lembab
9474,2012-02-04,Semi,2012,Feb,15,0,Sabtu,Berawan,0.32,0.303,66.0,0.2239,61,244,305,Weekend,Terlalu lembab
9475,2012-02-04,Semi,2012,Feb,16,0,Sabtu,Berawan,0.34,0.3333,61.0,0.1642,20,123,143,Weekend,Ideal
9476,2012-02-04,Semi,2012,Feb,17,0,Sabtu,Hujan/Salju_ringan,0.3,0.2879,70.0,0.194,13,54,67,Weekend,Terlalu lembab
9477,2012-02-04,Semi,2012,Feb,18,0,Sabtu,Hujan/Salju_ringan,0.28,0.2727,75.0,0.1642,6,58,64,Weekend,Terlalu lembab
9478,2012-02-04,Semi,2012,Feb,19,0,Sabtu,Hujan/Salju_ringan,0.26,0.2727,87.0,0.1343,5,75,80,Weekend,Terlalu lembab
9479,2012-02-04,Semi,2012,Feb,20,0,Sabtu,Hujan/Salju_ringan,0.24,0.2273,93.0,0.194,4,73,77,Weekend,Terlalu lembab
9480,2012-02-04,Semi,2012,Feb,21,0,Sabtu,Hujan/Salju_ringan,0.24,0.2424,93.0,0.1343,4,74,78,Weekend,Terlalu lembab
9481,2012-02-04,Semi,2012,Feb,22,0,Sabtu,Berawan,0.24,0.2576,87.0,0.0896,4,91,95,Weekend,Terlalu lembab
9482,2012-02-04,Semi,2012,Feb,23,0,Sabtu,Berawan,0.24,0.2424,87.0,0.1343,4,66,70,Weekend,Terlalu lembab
9483,2012-02-05,Semi,2012,Feb,0,0,Minggu,Berawan,0.24,0.2424,87.0,0.1343,3,58,61,Weekend,Terlalu lembab
9484,2012-02-05,Semi,2012,Feb,1,0,Minggu,Berawan,0.24,0.2576,93.0,0.1045,5,46,51,Weekend,Terlalu lembab
9485,2012-02-05,Semi,2012,Feb,2,0,Minggu,Berawan,0.24,0.2576,93.0,0.1045,4,59,63,Weekend,Terlalu lembab
9486,2012-02-05,Semi,2012,Feb,3,0,Minggu,Hujan/Salju_ringan,0.24,0.2576,87.0,0.0896,4,13,17,Weekend,Terlalu lembab
9487,2012-02-05,Semi,2012,Feb,4,0,Minggu,Berawan,0.24,0.2424,87.0,0.1343,0,9,9,Weekend,Terlalu lembab
9488,2012-02-05,Semi,2012,Feb,5,0,Minggu,Hujan/Salju_ringan,0.26,0.2576,81.0,0.194,0,4,4,Weekend,Terlalu lembab
9489,2012-02-05,Semi,2012,Feb,6,0,Minggu,Berawan,0.26,0.2424,70.0,0.2537,0,4,4,Weekend,Terlalu lembab
9490,2012-02-05,Semi,2012,Feb,7,0,Minggu,Berawan,0.24,0.2424,75.0,0.1642,0,16,16,Weekend,Terlalu lembab
9491,2012-02-05,Semi,2012,Feb,8,0,Minggu,Berawan,0.24,0.2424,75.0,0.1642,4,58,62,Weekend,Terlalu lembab
9492,2012-02-05,Semi,2012,Feb,9,0,Minggu,Berawan,0.24,0.2273,70.0,0.2239,9,83,92,Weekend,Terlalu lembab
9493,2012-02-05,Semi,2012,Feb,10,0,Minggu,Berawan,0.26,0.2424,65.0,0.2836,10,138,148,Weekend,Terlalu lembab
